scenario,origin_lat,origin_lon,dest_name,dest_lat,dest_lon,shortest_path,shortest_length_ft,shortest_length_m,shortest_shade,shadiest_path,shadiest_length_ft,shadiest_length_m,shadiest_shade,length_increase_m,length_increase_pct,shade_improvement,shade_improvement_pct,efficiency,route_name
summer_morning,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5791264640724902,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 4550404641, 4477512925, 8110054802, 4477512929, 8110054801, 7918772098, 7918772099, 7918772100, 7918772097, 4476162727, 4476162728, 11108253423, 7917327490, 7917327492, 7917315383, 4476162733, 7917315382, 11108253416, 11108253426, 2129462730, 11108152866, 11108152867, 12566704160, 12566704167, 4476162830, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1129.4730000000002,344.2633704000001,0.7109932195654866,8.016240000000057,2.384032241543274,0.1318667554929963,22.76994122590991,0.016449951036021298,Penn to 40th St
summer_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.4431797316919499,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 7918772087, 7918772092, 7918772096, 7409074662, 7918745672, 4476162723, 7918772097, 4476162727, 4476162728, 11108253423, 11108253424, 4476162748, 11108253425, 11108152876, 11108152873, 11108152874, 11874282257, 11108152875, 11108152869, 11108152863, 11108152862, 10241678581, 5886328379, 11108152855, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1129.2740000000001,344.20271520000006,0.5738465398525767,7.955584800000035,2.3659933664076362,0.1306668081606268,29.483931420278058,0.016424538414903985,Penn to 40th St
summer_evening,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.512627523259581,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 7918772087, 7918772092, 7918772096, 7918772095, 12228584107, 7918772100, 7918772097, 4476162727, 4476162728, 11108253423, 7917327490, 7917327492, 7917315383, 4476162733, 7917315382, 11108253416, 12566704158, 4476162765, 12566704160, 12566704167, 4476162830, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1129.387,344.2371576,0.6481475434117808,7.990027199999982,2.3762365467610196,0.13552002015219977,26.436352712879213,0.016961146283982622,Penn to 40th St
winter_morning,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.6092284296391899,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 7918772087, 7918772092, 4477512926, 8110054801, 7918772098, 7918772101, 7918772103, 7918772102, 11108253435, 11384046999, 11108253433, 8110066869, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 2129462748, 5562229019, 4476162809, 11108152857, 4476162818, 11108152853, 11108152854, 11108152855, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1126.4440000000002,343.3401312000001,0.6722368781319641,7.093000800000057,2.1094606195039387,0.0630084484927742,10.342335555497698,0.008883186435390463,Penn to 40th St
winter_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5941182707831487,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 3370981305, 7409074662, 7918745672, 4476162723, 7918772097, 7918772192, 7918772191, 7918772189, 4476162745, 7918772190, 11108253431, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 11108152881, 11108152882, 11108152872, 4476162809, 11108152857, 4476162818, 11108152853, 11108152854, 11108152855, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1139.8600000000004,347.4293280000001,0.7222342702586414,11.182197600000109,3.3255890055322554,0.12811599947549268,21.56405648097879,0.011457139648068054,Penn to 40th St
winter_evening,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.3755392853160837,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 1155472629, 4476162739, 7917327493, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1104.242,336.5729616,0.38632437454833274,0.32583119999998783,0.09690229909542383,0.010785089232249023,2.8718937416018764,0.03310023482174029,Penn to 40th St
spring_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5935884903982729,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 4477512925, 8110054802, 8110054798, 11108334657, 7918772101, 11108334659, 11205534337, 7918772189, 4476162745, 7918772190, 11108253431, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 11108152881, 11108152882, 11108152872, 4476162809, 11108152857, 9510717780, 4476162882, 4476162883, 4476162886, 3563991817, 5886328380, 3563991819, 5562229012, 4476163014, 7202429872, 4477334071, 109813544]",1126.2960000000003,343.2950208000001,0.6976819469711619,7.047890400000084,2.0960447726694067,0.10409345657288904,17.536299685165176,0.014769448822996424,Penn to 40th St
fall_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5798922138928649,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 4477512925, 8110054802, 8110054798, 11108334657, 7918772101, 11108334659, 11205534337, 7918772189, 4476162745, 7918772190, 11108253431, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 2129462748, 5562229019, 4476162809, 11108152857, 9510717780, 4476162882, 4476162883, 4476162886, 3563991817, 5886328380, 3563991819, 5562229012, 4476163014, 7202429872, 4477334071, 109813544]",1127.6200000000003,343.6985760000001,0.6909364038408126,7.451445600000105,2.216062213270298,0.11104418994794762,19.14910862529067,0.014902368736067274,Penn to 40th St
summer_morning,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.44948797744732794,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",326.3,99.45624000000001,0.7913940175318879,0.12191999999999308,0.12273703590057602,0.34190604008455994,76.06566965956844,2.80434744163861,Drexel to 34th St
summer_midday,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.159737992068762,"[4696697615, 4696697614, 4696697619, 4696697572, 7835909949, 4161472987, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",329.0230000000001,100.28621040000003,0.4989260857697278,0.9518904000000145,0.9582694077938162,0.3391880937009658,212.34027629128855,0.3563310373767407,Drexel to 34th St
summer_evening,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.2148984627215781,"[4696697615, 4696697614, 109780098, 2699440820, 4696697622, 2699440822, 2699442979, 109780100, 747588756, 747588894, 13196052611, 4696697643, 6486626948, 5562256792, 5562256789, 4161473064, 2699560200]",326.317,99.46142160000001,0.6523837565288859,0.12710159999999182,0.12795335992634954,0.43748529380730783,203.57767490133827,3.4420124829847616,Drexel to 34th St
winter_morning,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.23831170936602974,"[4696697615, 4696697614, 4696697619, 4696697572, 7835909949, 4161472987, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",329.0230000000001,100.28621040000003,0.5256439795044817,0.9518904000000145,0.9582694077938162,0.287332270138452,120.56993376566744,0.30185436279055616,Drexel to 34th St
winter_midday,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.397923871838382,"[4696697615, 4696697614, 4696697619, 4696697572, 7835909949, 4161472987, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",329.0230000000001,100.28621040000003,0.692427030557976,0.9518904000000145,0.9582694077938162,0.29450315871959404,74.00992490322555,0.3093876760597539,Drexel to 34th St
winter_evening,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.10226327094200673,"[4696697615, 4696697614, 109780098, 2699440820, 4696697622, 2699440822, 2699442979, 109780100, 747588756, 747588894, 13196052611, 4696697643, 6486626948, 6486626949, 4161472990, 4161472991, 2699560200]",327.13200000000006,99.70983360000002,0.3839514324492865,0.3755136000000085,0.3780300705738041,0.28168816150727977,275.45389357536243,0.7501410375210735,Drexel to 34th St
spring_midday,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.3030672564081617,"[4696697615, 4696697614, 4696697619, 4696697572, 7835909949, 4161472987, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",329.0230000000001,100.28621040000003,0.5446608594017018,0.9518904000000145,0.9582694077938162,0.24159360299354016,79.71616790834352,0.253804012513979,Drexel to 34th St
fall_midday,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.29141205974052475,"[4696697615, 4696697614, 4696697619, 4696697572, 7835909949, 4161472987, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",329.0230000000001,100.28621040000003,0.5374120082307976,0.9518904000000145,0.9582694077938162,0.24599994849027285,84.41652988188369,0.25843305961512913,Drexel to 34th St
summer_morning,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.5759846225521537,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 7863275882, 7863275877, 7863275878, 7342289431, 7863275864, 7863275854, 7342289435, 7874128498, 8211144893, 7918745649, 7918745648, 7917727526, 7342297511, 7863284803, 8211144881, 7863284817, 7863284820, 7342297508, 7917727487, 7917727509, 7917727492, 7917727502, 7917727504, 7917727503, 7917727505, 4476162799, 7917727520, 4476162807, 8048043149, 8048043140, 8048043156, 4476162878, 8211151337, 4476163050, 12566733408, 12566733403, 4476163095, 5546285696, 5546285701, 4476163104, 4476163111, 4477335547, 4477335557]",1690.9920000000002,515.4143616000001,0.6971867253369458,3.397910400000181,0.6636330516405449,0.12120210278479215,21.042593506707323,0.03566959940579531,Clark Park to 46th St
summer_midday,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.4161127178247244,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566051, 6297566047, 7863114676, 12613955570, 6297566125, 4775923680, 7863114677, 7863179785, 7863174284, 7874104933, 7898049378, 7874104936, 7342289433, 7874104941, 7874104940, 7874128494, 7342289436, 7874128497, 110021613, 7874128498, 8211144893, 7918745649, 7918745648, 7917727526, 7917727525, 7917727524, 7342297510, 7863284820, 7863284811, 7863284814, 7917727507, 7917727503, 7917727505, 4476162799, 7917727520, 8048043145, 12566669595, 4476162874, 12566733417, 8048043148, 12566669598, 12566733404, 4476163047, 12566669600, 12566733410, 4476163091, 4477334084, 4476163095, 5546285696, 5546285701, 4476163104, 4476163111, 4477335547, 4477335557]",1691.5189999999998,515.5749912,0.5500642197682136,3.5585400000000558,0.6950050123702073,0.1339515019434892,32.19115787754232,0.03764226394630582,Clark Park to 46th St
summer_evening,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.5122754088443687,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566051, 6297566047, 7863114676, 12613955570, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 7863114622, 7863284699, 7863284692, 7863275882, 7863275877, 7863275878, 7342289431, 7863275864, 7863275854, 7342289435, 7874128498, 8211144893, 7918745649, 7918745648, 7917727526, 7917727525, 5562182942, 7342297510, 7863284820, 7342297508, 7917727487, 7917727512, 7917727514, 7917727513, 7917727508, 4476162781, 7917727501, 7917727505, 4476162799, 7917727520, 4476162807, 8048043149, 8048043140, 8048043156, 4476162878, 8211151337, 4476163050, 12566733408, 12566733403, 4476163095, 5546285696, 5546285701, 4476163104, 4477335534, 4476163132, 4477335557]",1693.5970000000002,516.2083656000001,0.6169366345161317,4.1919144000001864,0.8187069751715406,0.10466122567176295,20.430655827861422,0.02496740526756899,Clark Park to 46th St
winter_morning,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.5927343878542943,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566051, 6297566047, 7863114676, 12613955570, 6297566125, 4775923680, 7863114677, 7863179785, 7863174284, 7874104933, 7898049378, 7874104936, 4775923685, 110021648, 7342289431, 7863275864, 7863275854, 7342289435, 7874128498, 8211144893, 7918745649, 7918745648, 7917727526, 7917727525, 7917727524, 7342297509, 6297565993, 7917727523, 7342297507, 7917727487, 7917727512, 7917727514, 7917727513, 7917727508, 4476162781, 7917727501, 7917727505, 4476162799, 7917727520, 8048043145, 12566669595, 4476162874, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163104, 4477335534, 4476163132, 4477335557]",1689.2469999999998,514.8824856,0.6696059993879261,2.8660344000000757,0.5597543581427948,0.07687161153363176,12.968981234901507,0.02682159416287178,Clark Park to 46th St
winter_midday,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.4654320000088817,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566051, 6297566047, 7863114676, 12613955570, 6297566125, 4775923680, 7863114677, 7863179785, 7863174284, 7874104933, 7898049378, 7874104936, 4775923685, 7863275878, 7342289431, 7863275864, 7863275854, 7863275865, 7342297514, 7918745648, 7917727526, 7917727525, 7917727524, 7342297509, 110311645, 7342297508, 110311652, 7917727492, 7917727502, 7917727507, 7917727503, 7917727505, 4476162799, 4476162801, 4476162803, 8251927827, 8251927819, 8251927829, 8048043153, 8048043164, 8048043162, 4476163005, 8211151378, 8211151350, 8211151347, 4476163061, 4476163062, 4476163104, 4476163111, 4477335547, 4477335557]",1690.2049999999995,515.1744839999999,0.6162278764892533,3.1580327999999627,0.61678346322634,0.15079587648037157,32.39912091938113,0.047749939924744716,Clark Park to 46th St
winter_evening,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.34788635135167323,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566051, 6297566047, 7863114676, 12613955570, 6297566125, 4775923680, 7863114677, 7863179785, 7863174284, 7874104933, 7898049378, 7874104936, 7342289433, 7874104941, 7874104940, 7874128494, 7342289436, 7874128497, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 110311645, 7342297508, 110311652, 7917727492, 7917727502, 7917727504, 7917727503, 7917727505, 4476162799, 7917727520, 4476162807, 8048043139, 110213949, 110317791, 4476163010, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163104, 4476163111, 4477335547, 4477335557]",1683.7979999999998,513.2216304,0.3812811275461784,1.2051792000000543,0.2353789994785337,0.03339477619450515,9.599334973836573,0.027709386450167448,Clark Park to 46th St
spring_midday,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.46926902625115835,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566051, 6297566047, 7863114676, 12613955570, 6297566125, 4775923680, 7863114677, 7863179785, 7863174284, 7874104933, 7898049378, 7874104936, 7342289433, 7874104941, 7874104940, 7874128494, 7342289434, 7863275854, 7863275865, 7342297514, 7918745648, 7917727526, 7917727525, 7917727524, 7342297510, 7863284820, 7863284811, 7863284814, 7917727507, 7917727503, 7917727505, 4476162799, 7917727520, 8048043145, 12566669595, 4476162874, 12566733417, 8048043148, 12566669598, 12566733404, 4476163047, 12566669600, 12566733410, 4476163091, 4477334084, 4476163095, 5546285696, 5546285701, 4476163104, 4476163111, 4477335547, 4477335557]",1691.3439999999996,515.5216512,0.6293528761908865,3.5052000000000003,0.6845873783517995,0.16008384993972818,34.113448999305874,0.04567038968952647,Clark Park to 46th St
fall_midday,39.948,-75.208,46th St,39.958619,-75.214028,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566046, 109865936, 6297566049, 2025338287, 5562153722, 12613955577, 2025338291, 4775923683, 4775923682, 4775923684, 110021693, 110021682, 110021672, 4775923685, 110021648, 7342289432, 110021635, 7342289434, 2022174529, 110021613, 5562182948, 7863284818, 5562182947, 5562182949, 6297565989, 5562182950, 7342297509, 6297565993, 7917727523, 6297565996, 5562182937, 4476162771, 7917727515, 4476162783, 7917727519, 7917727518, 4476162820, 12566669594, 4476162851, 8048039966, 12566733417, 8048043148, 12566669598, 4476163039, 8211151337, 8211151377, 8211151357, 8211151347, 4476163057, 4476163062, 4476163063, 8695546017, 5546285821, 5546285825, 5546285824, 10289426595, 4476163111, 4477335547, 4477335557]",1679.8439999999996,512.0164511999999,0.4615757407681866,"[7903513172, 7903513171, 7903513174, 7863114507, 7903513157, 7903513155, 7903513153, 6297566045, 6297566051, 6297566047, 7863114676, 12613955570, 6297566125, 4775923680, 7863114677, 7863179785, 7863174284, 7874104933, 7898049378, 7874104936, 7342289433, 7874104941, 7874104940, 7874128494, 7342289434, 7863275854, 7863275865, 7342297514, 7918745648, 7917727526, 7917727525, 7917727524, 7342297510, 7863284820, 7863284811, 7863284814, 7917727507, 7917727503, 7917727505, 4476162799, 7917727520, 8048043145, 12566669595, 4476162874, 12566733417, 8048043148, 12566669598, 12566733404, 4476163047, 12566669600, 12566733410, 4476163091, 4477334084, 4476163095, 5546285696, 5546285701, 4476163104, 4476163111, 4477335547, 4477335557]",1691.3439999999996,515.5216512,0.6146557312118746,3.5052000000000003,0.6845873783517995,0.15307999044368797,33.16465249861736,0.04367225563268514,Clark Park to 46th St
